Timestamp,Yaw1,Pitch1,Roll1,Yaw2,Pitch2,Roll2,Yaw3,Pitch3,Roll3,Yaw4,Pitch4,Roll4,Yaw5,Pitch5,Roll5
2025-05-26 14:08:30,88.66,-9.71,-12.64,-44.0,7.11,-54.36,8.13,-24.22,-60.02,11.42,-40.8,-25.0,-9.1,6.7,-47.31
2025-05-26 14:08:31,86.78,-9.88,-12.2,-43.27,6.53,-53.98,7.5,-24.42,-59.49,10.1,-40.15,-23.92,-8.8,6.27,-47.8
2025-05-26 14:08:31,85.02,-9.49,-11.39,-42.52,6.48,-53.27,6.86,-24.93,-59.01,8.86,-40.09,-24.2,-8.44,6.75,-46.88
2025-05-26 14:08:31,83.33,-9.9,-10.57,-41.78,6.74,-53.12,6.26,-23.69,-59.83,7.55,-39.35,-22.72,-8.1,6.34,-46.02
2025-05-26 14:08:31,81.71,-10.27,-10.01,-41.1,6.6,-52.56,5.63,-23.17,-60.24,6.35,-40.45,-24.2,-7.75,6.83,-45.25
2025-05-26 14:08:31,80.2,-9.84,-10.68,-40.42,7.27,-52.96,4.96,-23.77,-59.56,5.26,-39.3,-26.08,-7.38,7.49,-45.0
2025-05-26 14:08:31,78.7,-8.89,-10.26,-39.74,7.84,-52.39,4.35,-23.08,-60.22,4.05,-38.31,-24.55,-7.02,8.11,-44.89
2025-05-26 14:08:31,77.25,-8.82,-10.77,-39.07,8.44,-52.29,3.74,-23.21,-59.91,2.87,-38.06,-25.9,-6.63,9.35,-44.28
2025-05-26 14:08:31,75.9,-7.41,-11.13,-38.38,9.71,-51.7,3.18,-22.94,-60.28,1.73,-36.89,-26.93,-6.25,10.29,-44.15
2025-05-26 14:08:31,74.49,-7.56,-11.2,-37.7,9.71,-52.57,2.69,-22.69,-61.01,0.47,-37.47,-27.05,-5.89,10.09,-43.93
2025-05-26 14:08:32,72.99,-8.37,-10.8,-37.06,8.65,-52.68,2.22,-22.05,-61.66,-0.87,-38.54,-24.89,-5.61,8.77,-44.51
2025-05-26 14:08:32,71.53,-8.92,-12.07,-36.49,7.74,-53.9,1.69,-23.04,-60.78,-2.11,-39.36,-27.11,-5.36,8.65,-45.86
2025-05-26 14:08:32,70.12,-8.36,-13.15,-35.91,8.71,-53.91,1.17,-22.84,-60.63,-3.26,-38.89,-27.74,-5.11,9.16,-45.97
2025-05-26 14:08:32,68.75,-7.98,-13.35,-35.34,8.96,-54.31,0.64,-23.7,-60.43,-4.34,-38.51,-28.15,-4.85,9.56,-46.55
2025-05-26 14:08:32,67.47,-6.63,-14.33,-34.7,10.47,-54.07,0.2,-22.45,-61.12,-5.28,-37.03,-28.6,-4.55,10.87,-46.49
2025-05-26 14:08:32,66.07,-7.75,-14.22,-34.08,10.21,-54.81,-0.17,-22.54,-61.81,-6.24,-38.38,-29.58,-4.32,10.04,-46.93
2025-05-26 14:08:32,64.66,-7.98,-14.44,-33.5,9.39,-54.76,-0.53,-22.53,-61.95,-7.21,-38.44,-26.59,-4.13,9.07,-47.68
2025-05-26 14:08:32,63.27,-8.62,-13.03,-32.96,6.96,-54.53,-0.93,-24.31,-59.7,-8.19,-40.33,-24.67,-3.93,7.26,-48.1
2025-05-26 14:08:32,61.9,-9.61,-11.74,-32.39,6.77,-54.1,-1.34,-24.51,-58.98,-9.14,-40.69,-23.58,-3.7,6.46,-46.93
2025-05-26 14:08:33,60.59,-10.02,-11.26,-31.86,6.02,-53.27,-1.76,-24.51,-59.28,-10.09,-41.6,-22.88,-3.45,6.34,-46.07
2025-05-26 14:08:33,59.34,-10.25,-11.54,-31.33,6.91,-53.94,-2.19,-24.58,-59.45,-11.02,-40.8,-24.63,-3.2,7.18,-46.27
2025-05-26 14:08:33,58.21,-8.8,-12.38,-30.81,7.87,-54.61,-2.59,-23.91,-60.07,-11.89,-40.06,-25.7,-2.92,8.13,-46.04
2025-05-26 14:08:33,57.08,-8.95,-12.55,-30.27,8.19,-54.09,-2.97,-23.81,-60.14,-12.76,-39.72,-24.92,-2.66,7.84,-46.39
2025-05-26 14:08:33,55.97,-9.09,-12.9,-29.75,7.8,-54.41,-3.34,-23.82,-60.61,-13.59,-39.65,-26.32,-2.4,8.29,-46.78
2025-05-26 14:08:33,54.86,-9.12,-13.05,-29.22,8.4,-54.49,-3.69,-23.23,-61.17,-14.44,-39.37,-26.0,-2.15,8.53,-46.75
2025-05-26 14:08:33,53.72,-9.39,-12.43,-28.74,8.1,-54.23,-4.03,-22.68,-61.37,-15.32,-40.16,-25.59,-1.95,7.9,-46.62
2025-05-26 14:08:33,52.58,-9.62,-12.16,-28.29,7.74,-54.12,-4.39,-22.99,-61.18,-16.23,-40.33,-24.48,-1.78,7.65,-46.45
2025-05-26 14:08:33,51.49,-9.61,-12.78,-27.88,7.6,-53.7,-4.76,-23.04,-60.88,-17.11,-40.25,-24.76,-1.65,7.44,-46.59
2025-05-26 14:08:34,50.43,-9.28,-12.34,-27.48,7.77,-53.67,-5.14,-23.17,-60.79,-17.93,-39.58,-25.56,-1.49,8.19,-46.05
2025-05-26 14:08:34,49.39,-8.92,-12.5,-27.09,8.19,-53.95,-5.51,-22.98,-60.69,-18.71,-39.46,-26.16,-1.34,8.77,-46.07
2025-05-26 14:08:34,48.33,-9.0,-12.58,-26.71,8.0,-53.94,-5.86,-23.38,-60.56,-19.52,-39.63,-25.27,-1.22,8.49,-46.09
2025-05-26 14:08:34,47.25,-9.38,-11.59,-26.34,7.59,-53.77,-6.22,-24.29,-59.74,-20.34,-40.35,-23.43,-1.1,7.41,-46.51
2025-05-26 14:08:34,46.25,-9.06,-12.11,-25.97,7.33,-54.08,-6.56,-23.77,-60.36,-21.14,-40.0,-24.37,-0.96,8.0,-46.11
2025-05-26 14:08:34,45.26,-8.83,-11.49,-25.59,7.97,-53.84,-6.89,-23.5,-60.36,-21.9,-39.75,-24.94,-0.81,7.94,-45.91
2025-05-26 14:08:34,44.31,-9.2,-12.02,-25.23,7.55,-54.16,-7.2,-23.53,-60.51,-22.68,-39.96,-24.78,-0.66,7.9,-46.43
2025-05-26 14:08:34,43.4,-9.21,-12.37,-24.87,7.74,-54.11,-7.53,-23.44,-60.59,-23.42,-39.5,-24.88,-0.51,7.89,-46.49
2025-05-26 14:08:34,42.52,-9.11,-11.99,-24.52,7.73,-53.99,-7.84,-23.46,-60.36,-24.14,-39.57,-25.47,-0.35,7.88,-46.14
2025-05-26 14:08:35,41.65,-8.92,-12.2,-24.18,8.2,-53.89,-8.15,-22.84,-60.96,-24.88,-39.58,-25.27,-0.2,8.59,-45.93
2025-05-26 14:08:35,40.79,-8.86,-11.99,-23.85,8.26,-53.87,-8.45,-22.71,-60.94,-25.62,-39.28,-25.19,-0.07,8.56,-45.86
2025-05-26 14:08:35,39.99,-8.6,-12.46,-23.54,8.13,-53.89,-8.77,-23.24,-60.49,-26.29,-39.08,-25.6,0.05,8.37,-46.41
2025-05-26 14:08:35,39.24,-8.1,-12.85,-23.2,8.85,-53.95,-9.06,-23.24,-60.71,-26.89,-38.52,-26.74,0.22,9.39,-46.48
2025-05-26 14:08:35,38.48,-8.13,-13.05,-22.85,9.04,-54.71,-9.31,-22.55,-61.57,-27.45,-38.36,-27.33,0.37,9.08,-46.49
2025-05-26 14:08:35,37.66,-8.4,-12.95,-22.51,9.2,-54.19,-9.53,-22.43,-61.61,-28.03,-38.99,-26.53,0.47,9.0,-46.26
2025-05-26 14:08:35,36.82,-8.58,-12.16,-22.2,7.93,-53.57,-9.76,-23.15,-61.15,-28.67,-39.57,-23.9,0.56,7.8,-46.52
2025-05-26 14:08:35,35.97,-9.31,-11.34,-21.91,7.03,-53.45,-10.03,-24.23,-60.0,-29.31,-40.34,-23.84,0.65,7.42,-46.36
2025-05-26 14:08:35,35.2,-9.22,-11.35,-21.62,6.91,-53.41,-10.29,-23.94,-59.71,-29.93,-40.27,-23.52,0.77,7.18,-45.89
2025-05-26 14:08:36,34.47,-9.18,-11.3,-21.32,7.32,-53.52,-10.56,-23.82,-59.92,-30.52,-39.88,-24.11,0.93,7.94,-45.65
2025-05-26 14:08:36,33.8,-9.02,-11.82,-21.02,7.71,-53.51,-10.82,-23.54,-60.14,-31.07,-39.64,-24.99,1.09,8.36,-45.32
2025-05-26 14:08:36,33.18,-8.37,-11.79,-20.71,7.92,-53.39,-11.06,-23.46,-60.34,-31.6,-39.36,-24.53,1.28,8.46,-45.81
2025-05-26 14:08:36,32.6,-8.38,-12.11,-20.4,8.21,-53.93,-11.29,-23.06,-60.8,-32.09,-39.24,-25.96,1.48,8.85,-45.73
2025-05-26 14:08:36,32.02,-8.26,-12.58,-20.07,8.95,-53.94,-11.48,-22.39,-61.7,-32.58,-38.95,-26.43,1.66,9.29,-45.47
2025-05-26 14:08:36,31.39,-8.55,-12.57,-19.78,8.8,-54.01,-11.68,-22.44,-61.7,-33.08,-38.97,-26.31,1.81,9.23,-46.3
2025-05-26 14:08:36,30.78,-7.95,-12.98,-19.5,8.81,-54.05,-11.88,-22.61,-61.26,-33.55,-38.9,-26.14,1.94,9.4,-46.5
2025-05-26 14:08:36,30.16,-7.98,-12.56,-19.23,8.71,-53.56,-12.06,-22.5,-61.41,-34.02,-39.07,-25.68,2.05,8.63,-46.6
2025-05-26 14:08:36,29.49,-8.77,-11.85,-18.96,8.08,-53.94,-12.26,-23.37,-60.58,-34.48,-39.37,-25.0,2.14,7.99,-45.76
2025-05-26 14:08:37,28.87,-8.45,-12.38,-18.7,7.95,-53.65,-12.46,-23.6,-60.33,-34.93,-39.63,-24.31,2.26,8.41,-46.38
2025-05-26 14:08:37,28.28,-8.88,-12.52,-18.44,7.5,-53.55,-12.66,-23.81,-59.92,-35.34,-40.0,-24.75,2.39,8.26,-47.09
2025-05-26 14:08:37,27.7,-8.81,-11.31,-18.16,7.37,-53.04,-12.83,-24.07,-59.77,-35.77,-39.85,-22.95,2.54,7.74,-46.07
2025-05-26 14:08:37,27.18,-9.19,-11.18,-17.88,7.24,-53.17,-13.0,-23.83,-60.13,-36.17,-40.02,-23.87,2.72,7.67,-45.72
2025-05-26 14:08:37,26.64,-9.34,-11.17,-17.59,7.86,-53.25,-13.15,-22.96,-60.64,-36.57,-39.88,-24.73,2.92,8.64,-45.05
2025-05-26 14:08:37,26.07,-9.69,-11.51,-17.32,7.89,-53.27,-13.3,-22.67,-61.11,-36.98,-39.9,-24.98,3.08,8.15,-45.57
2025-05-26 14:08:37,25.57,-8.82,-12.36,-17.06,8.59,-53.78,-13.45,-22.88,-61.3,-37.38,-39.5,-25.63,3.22,8.61,-46.13
2025-05-26 14:08:37,24.99,-9.39,-11.75,-16.82,7.77,-53.39,-13.62,-23.37,-60.79,-37.82,-39.82,-23.95,3.32,7.44,-46.61
2025-05-26 14:08:37,24.46,-9.3,-12.05,-16.59,8.05,-54.27,-13.79,-23.7,-60.37,-38.23,-39.44,-24.85,3.44,8.0,-46.82
2025-05-26 14:08:38,23.97,-9.4,-12.47,-16.37,7.97,-53.87,-13.95,-23.18,-60.84,-38.61,-39.0,-25.84,3.55,8.52,-46.78
